name,index,fitting_cross,manufacturer
Gradal Top,1.5 index,6 mm,Zeiss,
Gradal Top,1.6 index,6 mm,Zeiss,
Gradal Top,1.67 index,6 mm,Zeiss,
Gradal Top,1.8 glass,6 mm,Zeiss,
Gradal Individual,1.6 index,6 mm,Zeiss,
Gradal Short I,1.6 index,Zeiss,,
Gradal HS,1.5 index,6 mm,Zeiss,
Gradal HS,1.5 photochromic,6 mm,Zeiss,
Gradal HS,1.6 index,6 mm,Zeiss,
Gradal 3,,6 mm,Zeiss,
Gradal RD,,6 mm,Zeiss,
Clarlet Business,,0 mm,Zeiss,
Brevis,,6 mm,Zeiss,
GT2 3D,1.5 index,6 mm,Zeiss,
GT2 3D,1.6 index,6 mm,Zeiss,
GT2 3D Short,1.5 index,6 mm,Zeiss,
GT2 3D Short,1.6 index,6 mm,Zeiss,
GT2 3D Short,1.67 index,6 mm,Zeiss,